_1;recno;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;Vmag;e_Vmag;Bmag;e_Bmag
 ; ;deg;deg;arcsec;arcsec;mag;mag;mag;mag
----------------------------------------;--------;----------;----------;------;------;------;------;------;------
94                                      ;27911316;265.449510;-32.138199; 0.273; 0.397;12.763; 0.076;13.471; 0.021

95                                      ;27910072;265.087160;-32.136650; 0.131; 0.194;11.730; 0.033;12.231; 0.028

96;;;;;;;;;

97                                      ;27924891;264.761793;-32.139767; 0.088; 0.166;11.854; 0.023;12.236; 0.023

98;;;;;;;;;

99                                      ;27924934;264.913672;-32.151683; 0.103; 0.138;11.742; 0.030;12.066; 0.014

100                                     ;27924877;264.764678;-32.151302; 0.103; 0.676;11.094; 0.021;11.429; 0.021

101                                     ;27911506;265.165252;-32.158957; 0.422; 0.333;12.918; 0.038;14.241; 0.010

102                                     ;27910067;265.025171;-32.159555; 0.266; 0.483;13.198; 0.053;13.945; 0.024

103                                     ;27910054;265.139411;-32.163939; 0.177; 0.216;12.214; 0.037;12.832; 0.018

104                                     ;27924915;264.923621;-32.168982; 0.221; 0.231;12.440; 0.027;13.058; 0.015

105                                     ;27910053;265.129363;-32.171437; 0.098; 0.225;12.508; 0.037;13.199; 0.030

106                                     ;27910055;265.139846;-32.177632; 0.115; 0.202;11.753; 0.040;12.291; 0.019

107                                     ;27924922;264.870850;-32.178624; 0.153; 0.206;12.446; 0.023;13.077; 0.017

108                                     ;27924875;264.748867;-32.180604; 0.136; 0.235;12.230; 0.027;12.929; 0.021

109                                     ;27911471;265.195978;-32.190246; 0.298; 0.973;12.563; 0.039;13.454; 0.017

110                                     ;27924821;264.825993;-32.190324; 0.088; 0.180;11.733; 0.026;12.239; 0.016

111                                     ;27924874;264.801225;-32.190743; 0.150; 0.351;12.755; 0.027;13.422; 0.027

112                                     ;27911288;265.472751;-32.198828; 0.194; 0.380;10.331; 0.066;10.471; 0.031

113                                     ;27910064;265.039338;-32.204188; 0.166; 0.490;11.589; 0.027;12.004; 0.025

114                                     ;27910031;264.983510;-32.206106; 0.230; 0.209;12.662; 0.031;13.303; 0.025

115;;;;;;;;;

116                                     ;27910032;264.993504;-32.202276; 0.956; 0.319;11.882; 0.023;13.391; 0.016

117                                     ;27911284;265.414574;-32.222208; 0.164; 0.348;10.673; 0.032;10.962; 0.035

118                                     ;27909966;265.140633;-32.230213; 0.145; 0.232;11.498; 0.017;12.040; 0.024

119;;;;;;;;;

120                                     ;27911266;265.289202;-32.234159; 0.242; 0.263;12.566; 0.029;13.303; 0.031

121                                     ;27911255;265.396445;-32.234247; 0.149; 0.346;11.365; 0.040;11.804; 0.035

122                                     ;27910014;264.942976;-32.237096; 0.134; 0.193;12.659; 0.026;13.332; 0.023

123                                     ;27924814;264.827859;-32.241682; 0.155; 0.264;12.350; 0.033;12.969; 0.021

124                                     ;27924899;264.899812;-32.246278; 0.166; 0.214;12.794; 0.035;13.481; 0.019

125                                     ;27911263;265.272944;-32.247525; 0.164; 0.258;10.900; 0.031;11.230; 0.031

126                                     ;27909947;265.224208;-32.248268; 0.171; 0.233;11.965; 0.035;12.512; 0.030

127                                     ;27911268;265.294427;-32.252580; 0.188; 0.274;12.220; 0.034;12.807; 0.035

